Geneid	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier	0_T	5_T	15_T	25_T	classification
gene-EST35_0151	phage	gene-EST35_0151	2.2604074366941305	0	0	0	0.0	22.598254382196316	24.27266497367604	438.78674783052435	late
gene-EST35_0087	phage	gene-EST35_0087	1.3158139264586	0	0	0	0.0	1583.8367590613543	677.9623321143602	304.2143450490021	early
gene-EST35_0411	phage	gene-EST35_0411	1.0993881763126028	0	0	0	0.0	34.11393275600165	119.03040275853398	105.99787328414097	middle
gene-EST35_0027	phage	gene-EST35_0027	1.0355673092615865	0	0	0	0.0	308.34137138528683	659.7819129676042	189.27598513527542	middle
gene-EST35_0377	phage	gene-EST35_0377	1.301551445996206	0	0	0	0.0	368.99262521881514	1548.5139338493752	758.72985297054	middle
gene-EST35_0013	phage	gene-EST35_0013	0.8764759328190276	0	0	0	0.0	89.86902746051084	149.067249186222	92.14378461046734	middle
gene-EST35_0409	phage	gene-EST35_0409	1.1105000809376355	0	0	0	0.0	212.57342563534647	487.4319499356556	426.25537256624494	middle
gene-EST35_0461	phage	gene-EST35_0461	1.5534473447662294	0	0	0	0.0	8.828076889590678	129.46172661886123	71.10471465436912	middle
gene-EST35_0307	phage	gene-EST35_0307	1.0587336843337385	0	0	0	0.0	55.19123470140884	184.64424116263714	349.1190651603916	late
gene-EST35_0187	phage	gene-EST35_0187	1.3137689836676532	0	0	0	0.0	50.459425941083914	9044.830296559025	9216.188538687118	late
gene-EST35_0019	phage	gene-EST35_0019	1.1984421630599764	0	0	0	0.0	104.07189735792922	315.87860977383116	159.1700021587457	middle
gene-EST35_0396	phage	gene-EST35_0396	0.9238021366149218	0	0	0	0.11132644879167487	404.96403345962585	413.1528048068288	426.8281908744566	late
gene-EST35_0337	phage	gene-EST35_0337	1.2356906501292912	0	0	0	0.0	87.85484727879039	571.0602965407335	166.98040157883133	middle
gene-EST35_0366	phage	gene-EST35_0366	0.839614514593729	0	0	0	0.0	844.6538960716285	1662.2562607451355	1204.3356338697195	middle
gene-EST35_0301	phage	gene-EST35_0301	1.0073180934647312	0	0	0	0.0	4.162604215630142	6.942318420837137	15.969316191669707	late
gene-EST35_0104	phage	gene-EST35_0104	1.2027970561762842	0	0	0	0.0	437.9039105060778	340.41510563385856	135.5892551068001	early
gene-EST35_0170	phage	gene-EST35_0170	1.1064571746951437	0	0	0	0.0	55.55730579642263	1094.4473449418795	948.6530236493014	middle
gene-EST35_0110	phage	gene-EST35_0110	1.212463919272861	0	0	0	0.0	28.540483279608935	572.6719486815506	241.19851881111416	middle
gene-EST35_0185	phage	gene-EST35_0185	1.2017477055809216	0	0	0	0.0	8.519884322009561	590.4678478452134	693.87639438001	late
gene-EST35_0445	phage	gene-EST35_0445	1.1005906757102064	0	0	0	0.0	65.64228910475659	296.3904165802555	141.99976673469223	middle
gene-EST35_0175	phage	gene-EST35_0175	1.3312341019582272	0	0	0	0.0	158.32481229447353	3082.554507462481	1224.3958504491775	middle
gene-EST35_0036	phage	gene-EST35_0036	0.9802269503589758	0	0	0	0.0	8378.427417514058	44474.581470920966	49308.86328603825	late
gene-EST35_0189	phage	gene-EST35_0189	0.9968002948861364	0	0	0	0.0	221.6861003063641	818.4136373771721	1138.166250469175	late
gene-EST35_0370	phage	gene-EST35_0370	1.3769151618047506	0	0	0	0.0	1156.547624663146	5913.448753700031	1969.7390713482066	middle
gene-EST35_0272	phage	gene-EST35_0272	0.9891143317822192	0	0	0	0.0	802.0542325612415	2932.5734317270076	1537.9319190497997	middle
gene-EST35_0226	phage	gene-EST35_0226	1.7286658733664275	0	0	0	0.0	17.853172565649576	140.49352637688477	1865.2910402633463	late
gene-EST35_0196	phage	gene-EST35_0196	1.6137563906068169	0	0	0	0.0	83.61978652431142	161.86038507619932	1338.4779355254184	late
gene-EST35_0093	phage	gene-EST35_0093	0.9517654789994252	0	0	0	0.0	1574.4541480215805	921.03114499338	604.5812227698761	early
gene-EST35_0050	phage	gene-EST35_0050	1.1185217857341074	0	0	0	0.0	1502.1970189126948	1305.3614777660869	992.4664204879788	early
gene-EST35_0268	phage	gene-EST35_0268	1.1456952405450795	0	0	0	0.0	4.386808490305776	762.7210165374407	545.7205648087966	middle
gene-EST35_0444	phage	gene-EST35_0444	1.077784874068238	0	0	0	0.0	101.16679369604536	464.3261487538069	189.7985109672937	middle
gene-EST35_0012	phage	gene-EST35_0012	0.9023832420818144	0	0	0	0.0	115.10378444096177	176.97940543830615	113.06777810056207	middle
gene-EST35_0178	phage	gene-EST35_0178	1.5739763263109	0	0	0	0.0	18.280609662017486	836.9057713715553	684.3542329010321	middle
gene-EST35_0363	phage	gene-EST35_0363	1.1555027241126397	0	0	0	0.0	226.74691971205638	1932.0005814451858	3617.540121595841	late
gene-EST35_0378	phage	gene-EST35_0378	1.073613196216747	0	0	0	0.0	3903.577914428315	15499.729247982425	5038.334330021503	middle
gene-EST35_0434	phage	gene-EST35_0434	0.9824542521205388	0	0	0	0.0	287.95573314418897	553.6390784068726	171.74385199325081	middle
gene-EST35_0210	phage	gene-EST35_0210	1.792740076194361	0	0	0	0.0	23.29476294331833	785.5195173465181	17378.0448339983	late
gene-EST35_0282	phage	gene-EST35_0282	0.9724007004762968	0	0	0	0.0	283.34765229439085	1366.4621000876523	1707.2278799398057	late
gene-EST35_0106	phage	gene-EST35_0106	1.425711915147817	0	0	0	0.0	11.849273259500672	110.99774775144787	155.2373261778464	late
gene-EST35_0201	phage	gene-EST35_0201	1.7297335816238828	0	0	0	0.0	3.0210195080703444	6.462379056091803	41.76874834381558	late
gene-EST35_0137	phage	gene-EST35_0137	1.6136189646568284	0	0	0	0.0	47.40973622804549	579.7505730555209	5026.217365692149	late
gene-EST35_0428	phage	gene-EST35_0428	1.164052669206212	0	0	0	0.0	5570.055365498728	9198.062335230223	2321.204300832647	middle
gene-EST35_0084	phage	gene-EST35_0084	1.111141570696602	0	0	0	0.0	31.920039802652344	21.208943320212086	8.117045566869978	early
gene-EST35_0460	phage	gene-EST35_0460	1.4925490270749222	0	0	0	0.0	5.966538707359077	72.59268885955055	44.12571543300012	middle
gene-EST35_0424	phage	gene-EST35_0424	0.9972070155622872	0	0	0	0.0	316.54107500848653	1171.7607749201918	1275.7242146310482	late
gene-EST35_0227	phage	gene-EST35_0227	1.7250409084856682	0	0	0	0.0	61.18747647873877	165.8019433783022	3198.514939555777	late
gene-EST35_0245	phage	gene-EST35_0245	1.9400571731073768	0	0	0	0.0	5.860740896321729	98.62846513986432	2518.091510888529	late
gene-EST35_0022	phage	gene-EST35_0022	1.1527207400049095	0	0	0	0.0	94.77938193090857	320.48483484041304	149.6436202690357	middle
gene-EST35_0292	phage	gene-EST35_0292	1.3022201854194408	0	0	0	0.0	31.94555938059389	3017.041037440003	8054.51654664165	late
gene-EST35_0319	phage	gene-EST35_0319	1.4338617246884646	0	0	0	0.0	159.14837085765342	1140.7840534088355	5643.442461127795	late
gene-EST35_0356	phage	gene-EST35_0356	0.9398329321351848	0	0	0	0.0	1026.4845247307196	1077.7192720822868	480.4847108116663	middle
gene-EST35_0228	phage	gene-EST35_0228	1.1787221077146066	0	0	0	0.0	111.22384765285814	3623.5427750413724	3679.2332307944525	late
gene-EST35_0138	phage	gene-EST35_0138	1.630584353870456	0	0	0	0.0	27.935555818221108	337.78309987982925	3043.600996533653	late
gene-EST35_0425	phage	gene-EST35_0425	1.0624938477415835	0	0	0	0.0	64.37779359949776	287.41417816467134	279.7347952867755	middle
gene-EST35_0334	phage	gene-EST35_0334	1.1986596719928269	0	0	0	0.0742246566590057	213.32466091088324	965.0366173841113	453.7909579989234	middle
gene-EST35_0257	phage	gene-EST35_0257	1.392011553447892	0	0	0	0.0	6.4510257755959515	1286.054888889592	4755.650140245748	late
gene-EST35_0457	phage	gene-EST35_0457	1.2536906926033309	0	0	0	0.0	28.029846994410082	169.21356693777977	81.58261454401367	middle
gene-EST35_0157	phage	gene-EST35_0157	1.2546828649176458	0	0	0	0.0	210.77979429077297	5657.854986948783	2409.721021865172	middle
gene-EST35_0295	phage	gene-EST35_0295	1.5676246820997948	0	0	0	0.0	123.02919203466449	90.91042989823215	634.0778093452664	late
gene-EST35_0111	phage	gene-EST35_0111	1.248369402143881	0	0	0	0.0	1.6299152984851	68.87666132154001	33.984481134512016	middle
gene-EST35_0004	phage	gene-EST35_0004	0.8975232870821498	0	0	0	0.0	191.38866075250917	386.4965961503987	249.41885019476817	middle
gene-EST35_0435	phage	gene-EST35_0435	1.0929454265377363	0	0	0	0.0	184.90941321746035	487.29379143756415	189.54965544321513	middle
gene-EST35_0096	phage	gene-EST35_0096	1.331059032670426	0	0	0	0.0	3665.19263245894	2463.771046166124	521.1007154300311	early
gene-EST35_0340	phage	gene-EST35_0340	1.4487214565051956	0	0	0	0.0	785.9234561956146	6231.06745202907	2342.476017070939	middle
gene-EST35_0324	phage	gene-EST35_0324	1.0349958485451034	0	0	0	0.0	531.306498133508	3942.0954657833404	5222.321208705875	late
gene-EST35_0041	phage	gene-EST35_0041	0.8177840983586186	0	0	0	0.0	657.6414909465948	642.4418694067226	551.7093799227306	early
gene-EST35_0359	phage	gene-EST35_0359	0.9782799901146706	0	0	0	0.0	6139.83640934942	4895.506897866845	2143.147769501395	early
gene-EST35_0038	phage	gene-EST35_0038	1.2309199763394882	0	0	0	0.0	9499.64204642611	10894.671247674423	1758.649511538996	middle
gene-EST35_0346	phage	gene-EST35_0346	1.7292013528188392	0	0	0	0.0	225.97152528474604	795.7689710719019	11987.36609116358	late
gene-EST35_0061	phage	gene-EST35_0061	1.4408938863077272	0	0	0	0.0	2866.3550139141535	548.950633728869	408.11715857490327	early
gene-EST35_0114	phage	gene-EST35_0114	1.1755407733057517	0	0	0	0.0	25.32094707512512	492.7764777534524	402.97219027715664	middle
gene-EST35_0402	phage	gene-EST35_0402	0.9299935140556408	0	0	0	0.0	170.06680211423847	401.5300839680154	320.0570496903243	middle
gene-EST35_0429	phage	gene-EST35_0429	0.9479029015557424	0	0	0	0.0	1313.6012775046984	1702.1065785126887	456.20570373250956	middle
gene-EST35_0007	phage	gene-EST35_0007	1.0678367341796775	0	0	0	0.0	238.57113233321556	553.5440564343954	328.36961103814957	middle
gene-EST35_0006	phage	gene-EST35_0006	1.017874592499285	0	0	0	0.0	205.58496880836046	460.34764322766495	273.7223976339165	middle
gene-EST35_0436	phage	gene-EST35_0436	1.0887725055936417	0	0	0	0.0	193.97608203753325	739.8696710242948	264.66036593733116	middle
gene-EST35_0399	phage	gene-EST35_0399	0.8784748733464369	0	0	0	0.0	72.02047581501635	117.76122243871963	206.2945541405156	late
gene-EST35_0440	phage	gene-EST35_0440	1.2089473891469389	0	0	0	0.0	48.306223536285636	495.43788681363145	261.03046722921016	middle
gene-EST35_0209	phage	gene-EST35_0209	1.8048901741126893	0	0	0	0.0	33.97892587533999	748.8275718498359	11819.98219846574	late
gene-EST35_0219	phage	gene-EST35_0219	1.5937500769324326	0	0	0	0.0	27.93660799967537	578.6013191978464	4024.364363399827	late
gene-EST35_0406	phage	gene-EST35_0406	0.9080919282401816	0	0	0	0.03711232832950285	466.90018105853227	838.7142033232531	418.99207197934896	middle
gene-EST35_0451	phage	gene-EST35_0451	0.9957678276085072	0	0	0	0.0	621.518184018503	989.48327500784	288.35127785290973	middle
gene-EST35_0320	phage	gene-EST35_0320	1.3582222548718097	0	0	0	0.0	134.20553297313378	780.9947801955682	3314.731236730027	late
gene-EST35_0028	phage	gene-EST35_0028	1.134560839128134	0	0	0	0.0	165.7473987685357	452.77317117159964	142.50709572797143	middle
gene-EST35_0115	phage	gene-EST35_0115	1.3005451577542493	0	0	0	0.0	16.79318293569023	398.24590104055886	356.43186086987424	middle
gene-EST35_0329	phage	gene-EST35_0329	1.130277222126751	0	0	0	0.0	5.892635233959595	613.4928476257556	774.2852339720054	late
gene-EST35_0052	phage	gene-EST35_0052	1.4259647987927486	0	0	0	0.0	2178.9973549335286	378.09653846275904	310.5128819852509	early
gene-EST35_0180	phage	gene-EST35_0180	1.2906014327766009	0	0	0	0.0	15.084597718940765	2819.1108603558077	1466.4676385016976	middle
gene-EST35_0035	phage	gene-EST35_0035	1.022915381291159	0	0	0	0.0	8846.630395480073	30986.30074264568	17760.03672346295	middle
gene-EST35_0011	phage	gene-EST35_0011	1.071450020706882	0	0	0	0.0	48.28686802920523	153.49733426885385	85.25319389480386	middle
gene-EST35_0177	phage	gene-EST35_0177	1.3424179775507743	0	0	0	0.0	18.06581445184229	828.9934394311243	601.0039430474704	middle
gene-EST35_0231	phage	gene-EST35_0231	1.3316240004864326	0	0	0	0.0	7.865287813012181	776.2241129129038	1590.8476483033162	late
gene-EST35_0381	phage	gene-EST35_0381	1.5018038563860356	0	0	0	0.0	30.132855328192928	18.812501752625177	75.77816707008188	late
gene-EST35_0276	phage	gene-EST35_0276	1.262152474906867	0	0	0	0.0	267.0128951759642	5053.322848658087	11866.627395524984	late
gene-EST35_0418	phage	gene-EST35_0418	1.2421761657270345	0	0	0	0.0	22.758864950667753	59.08811581405786	34.38567746852655	middle
gene-EST35_0373	phage	gene-EST35_0373	1.021327909899924	0	0	0	0.0	598.3167497573862	1871.801138914859	815.6868430438223	middle
gene-EST35_0054	phage	gene-EST35_0054	1.216134516293131	0	0	0	0.0	375.1734788504917	874.5609480075036	520.7403210179158	middle
gene-EST35_0080	phage	gene-EST35_0080	1.1044755967527162	0	0	0	0.0	5569.329972795575	2175.627203142215	1364.2603992535192	early
gene-EST35_0010	phage	gene-EST35_0010	1.2580489399664965	0	0	0	0.0	155.24043029270493	391.98826856207415	207.21239913654935	middle
gene-EST35_0003	phage	gene-EST35_0003	1.053867880070879	0	0	0	0.0	143.04928718505064	225.7721081320801	148.7671900865977	middle
gene-EST35_0419	phage	gene-EST35_0419	1.0180010726351765	0	0	0	0.0	495.485290732702	1546.3999802195513	507.29920734833536	middle
gene-EST35_0433	phage	gene-EST35_0433	1.0335506684407183	0	0	0	0.0	2486.7286937633703	3026.935379420565	732.0596948181332	middle
gene-EST35_0304	phage	gene-EST35_0304	1.801590268933804	0	0	0	0.0	4.0646172751989855	4.471574005943789	23.165227830671228	late
gene-EST35_0401	phage	gene-EST35_0401	1.2581667603228606	0	0	0	0.0	118.53986325782462	258.1426755257985	248.937407590151	middle
gene-EST35_0394	phage	gene-EST35_0394	0.8673801125708273	0	0	0	0.0	664.8191999631895	859.8687461102085	1011.8908702592507	late
gene-EST35_0023	phage	gene-EST35_0023	1.0089147368099265	0	0	0	0.0	184.0087019135174	352.4580541942533	154.83048699981137	middle
gene-EST35_0265	phage	gene-EST35_0265	1.2306491313473653	0	0	0	0.0	12.71072756581349	392.697354504719	305.83060846606503	middle
gene-EST35_0183	phage	gene-EST35_0183	1.1458614272973766	0	0	0	0.0	49.05708409136625	1329.211523736955	1781.3694468885399	late
gene-EST35_0254	phage	gene-EST35_0254	1.3662825588650147	0	0	0	0.0	101.94511057584923	2635.9972908402674	8789.904127806134	late
gene-EST35_0391	phage	gene-EST35_0391	1.212053548691715	0	0	0	0.0	151.2886222914353	912.6385118186193	406.3880698070882	middle
gene-EST35_0224	phage	gene-EST35_0224	1.6198994837800302	0	0	0	0.0	36.98878852476951	557.6579792280971	5070.477451302013	late
gene-EST35_0132	phage	gene-EST35_0132	1.1240218554507124	0	0	0	0.0	95.68612377271059	2060.193388576205	1385.646514985304	middle
gene-EST35_0169	phage	gene-EST35_0169	1.1064801698417444	0	0	0	0.0	38.3191324465469	499.9449683871107	410.0615631508631	middle
gene-EST35_0449	phage	gene-EST35_0449	1.0822824145224226	0	0	0	0.0	40.66661484990177	230.6374413145161	154.6085441001784	middle
gene-EST35_0321	phage	gene-EST35_0321	1.2673522521785	0	0	0	0.0	101.84047167529529	1050.0109721141903	2878.3116778666736	late
gene-EST35_0034	phage	gene-EST35_0034	0.9965653976129408	0	0	0	0.0	2724.853097992576	29388.987672026607	26996.12164001397	middle
gene-EST35_0042	phage	gene-EST35_0042	0.8417799862553	0	0	0	0.0	1285.1331606597448	1196.0854493142003	959.099665458958	early
gene-EST35_0297	phage	gene-EST35_0297	1.2568798001968131	0	0	0	0.0	185.6725213889009	640.6499083668004	377.86606204492654	middle
gene-EST35_0376	phage	gene-EST35_0376	0.8906884672136802	0	0	0	0.0	997.5386081861376	2807.185139817771	2117.8978627401416	middle
gene-EST35_0338	phage	gene-EST35_0338	1.311816477172021	0	0	0	0.0	29.175160033789435	294.84943321150257	144.08574964898705	middle
gene-EST35_0174	phage	gene-EST35_0174	1.1745040388649963	0	0	0	0.0	249.2000532539782	2951.222989457415	1427.946461152497	middle
gene-EST35_0176	phage	gene-EST35_0176	1.4748324817839165	0	0	0	0.0	185.17154438969627	5298.520165068928	1913.3904464378938	middle
gene-EST35_0026	phage	gene-EST35_0026	1.1278287482529927	0	0	0	0.0	136.08976994194245	297.2699983320917	109.29874674256872	middle
gene-EST35_0079	phage	gene-EST35_0079	1.6644776550192424	0	0	0	0.0	4880.364175958153	760.820243767524	270.8076892246591	early
gene-EST35_0202	phage	gene-EST35_0202	2.335573885021366	0	0	0	0.0	2.073387816980183	4.114721342682253	55.531175348314974	late
gene-EST35_0060	phage	gene-EST35_0060	0.9623272781552829	0	0	0	0.0	374.7255225868521	779.6632205858772	406.45204224960725	middle
gene-EST35_0191	phage	gene-EST35_0191	1.0033483237374925	0	0	0	0.0	51.71673271949279	400.4720126846812	413.58165609823726	late
gene-EST35_0398	phage	gene-EST35_0398	1.1673533982882345	0	0	0	0.0	207.362727360324	222.81532034112072	210.72273839412082	middle
gene-EST35_0458	phage	gene-EST35_0458	1.2604610954956488	0	0	0	0.0	66.31219434993712	465.41881770148376	191.31441944792118	middle
gene-EST35_0164	phage	gene-EST35_0164	2.199255263633525	0	0	0	0.0	2.83177262400693	7.841015029443416	57.21886588427424	late
gene-EST35_0393	phage	gene-EST35_0393	0.8048689376352899	0	0	0	0.0	575.9859704968954	700.9176598550031	962.6353920854457	late
gene-EST35_0358	phage	gene-EST35_0358	1.0087434379449085	0	0	0	0.0	1268.4718843864464	1665.8152538514987	482.60022482444737	middle
gene-EST35_0354	phage	gene-EST35_0354	1.3618311010758557	0	0	0	0.0	1.636642295284	2.7607345449819243	0.8248507469343066	middle
gene-EST35_0190	phage	gene-EST35_0190	0.992243496110259	0	0	0	0.0	79.18441915522135	488.21142216180573	557.8203801984749	late
gene-EST35_0136	phage	gene-EST35_0136	2.489292495486972	0	0	0	0.0	2.9937550801712156	5.623649466063733	50.69921947186589	late
gene-EST35_0390	phage	gene-EST35_0390	1.0380328369447336	0	0	0	0.0	349.12464876854983	1171.4689330885005	481.90292715744835	middle
gene-EST35_0072	phage	gene-EST35_0072	0.8825288074140545	0	0	0	0.0	1928.837319411674	1292.3363629038479	556.1351550527548	early
gene-EST35_0327	phage	gene-EST35_0327	1.184390301747434	0	0	0	0.0	34.6313041890721	2187.6355343788823	3806.108613295119	late
gene-EST35_0341	phage	gene-EST35_0341	0.9621511085767476	0	0	0	0.0	9.494101968969057	31.870014517655154	39.64951643185613	late
gene-EST35_0092	phage	gene-EST35_0092	0.8841068732587047	0	0	0	0.0	22.58093157418107	39.59535350607113	29.471916840392467	middle
gene-EST35_0374	phage	gene-EST35_0374	1.046438340577898	0	0	0	0.0	456.0202010927721	1753.3308684348947	702.929262454897	middle
gene-EST35_0148	phage	gene-EST35_0148	2.3128250518787645	0	0	0	0.0	11.620127036632615	17.61931033320408	303.7780364110294	late
gene-EST35_0385	phage	gene-EST35_0385	0.8538654542668993	0	0	0	0.0	3605.9364791583216	5578.41944291032	2919.5205759031146	middle
gene-EST35_0300	phage	gene-EST35_0300	1.052513346468451	0	0	0	0.0	64.75662075033559	171.02325436969068	371.225661756727	late
gene-EST35_0311	phage	gene-EST35_0311	1.4809820969690837	0	0	0	0.0	80.48065991787306	2099.3606763742882	10996.540800122892	late
gene-EST35_0199	phage	gene-EST35_0199	1.7982304999550829	0	0	0	0.0	2.3470483814717404	4.2750838221559775	32.09264823069367	late
gene-EST35_0412	phage	gene-EST35_0412	1.0956810232041612	0	0	0	0.0	269.39852215890204	976.8971889014333	1504.9541957678277	late
gene-EST35_0161	phage	gene-EST35_0161	1.40152275643755	0	0	0	0.0	1.1832114995364822	7.3785075727934455	8.45468525980346	late
gene-EST35_0267	phage	gene-EST35_0267	1.2323618362343716	0	0	0	0.0	59.53000687544119	5318.104879937597	2391.834056208369	middle
gene-EST35_0160	phage	gene-EST35_0160	1.4111571118667776	0	0	0	0.0	0.41895638809239394	4.985954217446056	6.275002543642759	late
gene-EST35_0405	phage	gene-EST35_0405	0.7861086447430237	0	0	0	0.0	1293.3746448089034	1980.2504975441032	1485.313952623855	middle
gene-EST35_0182	phage	gene-EST35_0182	1.1580407958511854	0	0	0	0.0	136.73399931546868	2605.7218865592054	3034.352010480354	late
