Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-M172_gp35	543.3839383455203	651.8211539978936	3973.8143165268366	4956.696987853369	17272.07138954972	17638.80778022382	phage	gene-M172_gp35	0.9614424204434148	0	0	0
gene-M172_gp24	5506.280408073255	6130.393547157701	13553.277517648674	12677.177955091203	8292.21456715542	7770.3656177603825	phage	gene-M172_gp24	0.3420308070406088	0	0	0
gene-M172_gp16	26455.46219051288	29053.75840389272	37007.28737081082	37377.58681186719	17604.999282907695	17045.131038302115	phage	gene-M172_gp16	0.2972241201040004	0	0	0
gene-M172_gp37	2468.637611562991	2880.1762474500224	16806.178617460464	20657.44321586144	58437.32996427676	60176.12865144307	phage	gene-M172_gp37	0.8869509772509999	0	0	0
gene-M172_gp34	2390.401304975493	2959.392789610532	18835.340095478405	20078.127408098007	23884.866724836906	23716.2115941463	phage	gene-M172_gp34	0.5955194443452042	0	0	0
gene-M172_gp48	88.91182600489428	104.63444840492502	592.241997849664	693.9544679731674	4369.664915355738	4442.335050235183	phage	gene-M172_gp48	1.1170075589959343	0	0	0
gene-M172_gp39	2130.6811682922435	2397.547904956367	13435.646943622378	16483.160361962597	69301.11417532743	71991.22428897038	phage	gene-M172_gp39	1.014763041676529	0	0	0
gene-M172_gp46	1315.2239922233416	1547.2175813318422	11503.534096782563	11102.427003885892	51636.11999417568	52750.25393061656	phage	gene-M172_gp46	1.0155080302372883	0	0	0
gene-M172_gp13	16501.76039315193	19369.848000920658	20304.15477184848	18420.82817670484	7864.586697554551	7563.234150995152	phage	gene-M172_gp13	0.3520476705067858	0	0	0
gene-M172_gp27	5498.655037060828	6086.419009974111	20606.47761447922	21063.850989164854	17237.913710257486	16543.482383789622	phage	gene-M172_gp27	0.4394817065138147	0	0	0
gene-M172_gp23	9890.106203117311	11274.946583412368	22113.59378714291	21239.398035139813	12113.604937974253	11826.9746339733	phage	gene-M172_gp23	0.3363306097947107	0	0	0
gene-M172_gp22	6871.679341558364	7751.837652246241	14638.123101281695	13247.732244624967	6935.213173478314	6723.2389080553385	phage	gene-M172_gp22	0.3504671657312771	0	0	0
gene-M172_gp26	3668.871008918939	4345.214463194092	12876.935793061786	12800.8948149124	9169.694693845378	9058.8953816783	phage	gene-M172_gp26	0.4189978092857783	0	0	0
gene-M172_gp06	41181.578689711154	48771.19237425387	35875.825731190555	34565.139460146915	14969.165030856866	13898.698922192709	phage	gene-M172_gp06	0.4100157674434204	0	0	0
gene-M172_gp15	17432.66568634897	19922.02472491744	24002.77079294184	22421.56963338008	11361.260155614504	10832.00627647941	phage	gene-M172_gp15	0.2871844749871402	0	0	0
gene-M172_gp33	1362.0437702396412	1639.5329218023571	10108.32371933972	10643.239000283324	12462.40739382381	10938.507623926263	phage	gene-M172_gp33	0.5793340249978287	0	0	0
gene-M172_gp54	51.85252288450095	70.63994802895833	347.84846455980266	510.80706883513193	2947.960994557762	3420.058654934405	phage	gene-M172_gp54	1.1437233286699229	0	0	0
gene-M172_gp01	2169.570560455619	2511.850514018677	716.5514804823207	713.7998345656462	334.2416502538288	353.639089599174	phage	gene-M172_gp01	0.7701235904589308	0	0	0
gene-M172_gp19	10807.133321071737	12710.98031718428	18687.99519336667	17386.018981459783	7900.386572966606	7832.21832339298	phage	gene-M172_gp19	0.337950881940496	0	0	0
gene-M172_gp28	1498.995433622823	1777.6940563578917	6613.346258611703	6708.472831482014	5557.629588432808	5345.821481076007	phage	gene-M172_gp28	0.4675122421406623	0	0	0
gene-M172_gp47	671.6426787745359	797.1554400089071	4465.73638102383	5316.130356190552	29216.20168795865	30040.88969041014	phage	gene-M172_gp47	1.0857653000378884	0	0	0
gene-M172_gp31	1275.724570378972	1585.2664716609058	7856.168476423725	8396.384596448694	8421.291182173194	7562.824530428049	phage	gene-M172_gp31	0.5368262135233126	0	0	0
gene-M172_gp11	26717.16492365936	30529.40040874488	31055.153064228743	28843.65693525893	12771.906622539032	12582.314959711768	phage	gene-M172_gp11	0.3347800078485894	0	0	0
gene-M172_gp45	1322.2393335547742	1623.1594239148503	9903.867333430744	11634.873967143674	46725.1872377276	49603.27565375101	phage	gene-M172_gp45	1.003352819393728	0	0	0
gene-M172_gp09	21712.023898522784	26616.29035170585	19391.870377922634	19050.074082331248	7557.386543407076	7204.952694968808	phage	gene-M172_gp09	0.4245407430536588	0	0	0
gene-M172_gp20	28161.71520825346	30654.30680691529	49641.32897741275	47385.14071842761	21422.22942355632	20501.23630314161	phage	gene-M172_gp20	0.3509866081483317	0	0	0
gene-M172_gp41	403.38212655736766	483.7199090194894	2639.8045505994114	3298.4477123148104	12117.436728920497	13018.560863676772	phage	gene-M172_gp41	0.9823734399204594	0	0	0
gene-M172_gp29	3549.915221125084	4309.660582066934	17171.882939722986	18125.892249793207	15666.988902038624	15547.967865539593	phage	gene-M172_gp29	0.4884204722171546	0	0	0
gene-M172_gp12	14386.634981725038	16839.908670188164	17415.45864746921	15836.391419876869	6627.575100365553	6446.335404693514	phage	gene-M172_gp12	0.35697196289734	0	0	0
gene-M172_gp36	860.5993724624672	1067.5520622654496	6597.807573282621	8246.594302859718	25939.91094917841	27361.01540023138	phage	gene-M172_gp36	0.9357117434132896	0	0	0
gene-M172_gp10	24248.83232693687	27902.4675952883	27687.074867021565	35731.47698929744	12224.83635515666	12461.340352227264	phage	gene-M172_gp10	0.3646560902129314	0	0	0
gene-M172_gp42	464.38509465678055	576.0352494900045	3648.7286629315663	4721.824963022171	11790.749180817837	12338.181101718208	phage	gene-M172_gp42	0.863884492941958	0	0	0
gene-M172_gp53	52.615059985743606	67.67712460169517	350.9834624770736	431.2144815440202	2956.719373863464	3502.665469300236	phage	gene-M172_gp53	1.1666541234344685	0	0	0
gene-M172_gp38	1640.827334453958	2020.9574535437084	11629.070317730677	15334.134748350196	49203.04222305184	49483.12028740072	phage	gene-M172_gp38	0.9394786830983228	0	0	0
gene-M172_gp14	16436.029695024812	19609.36888430361	21979.061485214803	19970.772419669545	10575.41457241045	9015.612141754384	phage	gene-M172_gp14	0.2996597245743977	0	0	0
gene-M172_gp43	1808.738004147592	2196.54372612783	13052.08676365714	15780.54993622037	56556.35852863607	57947.38314583407	phage	gene-M172_gp43	0.9644734894743104	0	0	0
gene-M172_gp50	172.33338488084138	228.13740389926275	1193.071163907505	1420.7382391924034	9621.079667312964	10297.86105697672	phage	gene-M172_gp50	1.1428102594158804	0	0	0
gene-M172_gp17	27025.53492740189	31042.59261396188	41419.18357021196	39553.18790479798	18790.22696245173	18237.809589517863	phage	gene-M172_gp17	0.3089082561415653	0	0	0
gene-M172_gp30	1387.817524261643	1746.9742555594262	8376.169217918885	8524.112753772626	7499.800199472089	7395.972419427975	phage	gene-M172_gp30	0.5218722272030893	0	0	0
gene-M172_gp44	670.4226194125475	812.7492475208185	4538.931767179243	6044.919776161155	24393.071684050225	24373.78914453612	phage	gene-M172_gp44	1.0111004475204748	0	0	0
gene-M172_gp40	543.8414606062659	672.2490418384974	3931.151084000497	4523.899099400374	19462.54205390564	20303.93572998686	phage	gene-M172_gp40	1.0158496652027502	0	0	0
gene-M172_gp07	19681.99762759457	23813.927203740262	17474.47839086827	16612.8941680379	7185.702821621373	6592.29686677132	phage	gene-M172_gp07	0.4151596005458011	0	0	0
gene-M172_gp32	1980.766374187936	2482.690093971403	13056.448499889866	13745.977618648903	14106.245709762636	13688.83665164679	phage	gene-M172_gp32	0.5478861623392105	0	0	0
gene-M172_gp04	30490.6560228688	37574.05889032594	25733.42594753268	24156.455803312994	9985.42824643014	10354.66177561504	phage	gene-M172_gp04	0.4362327058312915	0	0	0
gene-M172_gp21	18759.327735090952	21028.717244037784	35399.1697435081	32782.328841102375	14747.57803442262	13868.5235404161	phage	gene-M172_gp21	0.3686048792662221	0	0	0
gene-M172_gp03	45542.37586429768	54850.75010892274	35333.8800042745	34176.571404684604	14516.685259976068	14779.656221842852	phage	gene-M172_gp03	0.4459073865581361	0	0	0
gene-M172_gp49	113.6180280851565	140.9680199076784	791.9277347540962	908.0310820665024	6236.951383331271	6476.920407037226	phage	gene-M172_gp49	1.1384078947620406	0	0	0
gene-M172_gp52	320.5705973624147	364.739157703606	2148.291398874236	2614.627048559079	17896.543834046228	18407.938665054764	phage	gene-M172_gp52	1.1440402581399014	0	0	0
gene-M172_gp25	11837.77846711132	13934.158578418606	34949.6383030229	34612.113865113155	23739.47762836226	22973.159885420933	phage	gene-M172_gp25	0.3786836403201285	0	0	0
gene-M172_gp05	20567.913231818296	25342.2762779827	18471.680337074977	19036.03454107168	7056.73568634492	6937.880085217463	phage	gene-M172_gp05	0.4246857392198268	0	0	0
gene-M172_gp02	17394.996353547584	20123.65265604645	9266.236017909288	8721.299694170235	1625.5551991381756	1751.401004744635	phage	gene-M172_gp02	0.7172818867262727	0	0	0
gene-M172_gp51	111.02540194093145	132.07954962588897	769.8464450759269	841.1057500471856	5957.449603738077	6407.967611574839	phage	gene-M172_gp51	1.145053499818335	0	0	0
gene-M172_gp18	15614.167207305472	17826.372933391674	25213.69781455206	24201.74124090966	11570.913860244733	11937.708727280224	phage	gene-M172_gp18	0.3036536633403033	0	0	0
gene-M172_gp08	16908.497682954767	20689.3959925786	15028.634798367835	14179.30330940489	5883.550778346221	5653.856147537682	phage	gene-M172_gp08	0.4246894703666866	0	0	0
